rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,firstName,title,date,birthYear,Column3,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
11,19000,Metals & Mining,Wang Wenyin,55,China,Shenzhen,"Mining, copper products",Metals & Mining,China,,TRUE,U,M,03/01/1968,Wenyin,,04/04/2023,1968,57,3,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
12,18900,Food & Beverage,Qin Yinglin,57,China,Nanyang,Pig breeding,Food & Beverage,China,,TRUE,D,M,4/17/1965,Yinglin,,04/04/2023,1965,60,4,17,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
13,18700,Automotive,Wang Chuanfu,57,China,Shenzhen,"Batteries, automobiles",Automotive,China,,TRUE,D,M,2/15/1966,Chuanfu,,04/04/2023,1966,59,2,15,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
14,16300,Healthcare,Li Xiting,72,China,Shenzhen,medical devices,Healthcare,Singapore,,TRUE,D,M,01/01/1951,Xiting,,04/04/2023,1951,74,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
15,15900,Food & Beverage,Pang Kang,67,China,Foshan,Soy sauce,Food & Beverage,China,,TRUE,D,M,1/19/1956,Kang,,04/04/2023,1956,69,1,19,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
16,15200,Automotive,Huang Shilin,56,China,Ningde,Batteries,Automotive,China,,TRUE,D,M,01/01/1967,Shilin,,04/04/2023,1967,58,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
17,14600,Healthcare,Xu Hang,60,China,Shenzhen,Medical devices,Healthcare,Hong Kong,,TRUE,D,M,5/22/1962,Hang,,04/04/2023,1962,63,5,22,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
18,14500,Automotive,Wei Jianjun & family,59,China,Baoding,Automobiles,Automotive,China,,TRUE,D,M,03/01/1964,Jianjun,,04/04/2023,1964,61,3,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
19,13900,Healthcare,Chen Bang,57,China,Changsha,Hospitals,Healthcare,China,,TRUE,U,M,09/01/1965,Bang,,04/04/2023,1965,60,9,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
20,13200,Automotive,Lu Xiangyang,60,China,Guangzhou,"Automobiles, batteries",Automotive,China,,TRUE,D,M,12/28/1962,Xiangyang,,04/04/2023,1962,63,12,28,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
21,12200,Metals & Mining,Dang Yanbao,50,China,Yinchuan,Coal,Metals & Mining,China,,TRUE,D,M,02/01/1973,Yanbao,,04/04/2023,1973,52,2,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
22,12200,Healthcare,Jiang Rensheng & family,69,China,Chongqing,Vaccines,Healthcare,China,,TRUE,D,M,10/08/1953,Rensheng,,04/04/2023,1953,72,10,8,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
23,11400,Food & Beverage,Liu Hanyuan,59,China,Chengdu,Agribusiness,Food & Beverage,China,,TRUE,D,M,01/01/1964,Hanyuan,,04/04/2023,1964,61,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
24,11000,Technology,Zhang Zhidong,51,China,Shenzhen,Internet media,Technology,China,,TRUE,D,M,01/01/1972,Zhidong,,04/04/2023,1972,53,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
25,10500,Fashion & Retail,Sky Xu,39,China,Guangzhou,E-commerce,Fashion & Retail,China,,TRUE,U,M,01/01/1984,Sky,,04/04/2023,1984,41,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
26,10100,Real Estate,Wu Yajun,59,China,Beijing,Real estate,Real Estate,China,,TRUE,D,F,01/01/1964,Yajun,,04/04/2023,1964,61,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
27,9900,Service,Liu Yongxing,74,China,Shanghai,Diversified,Service,China,East Hope Group,TRUE,D,M,06/01/1948,Yongxing,Chairman,04/04/2023,1948,77,6,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
28,9700,Technology,Lei Jun,53,China,Beijing,Smartphones,Technology,China,Xiaomi,TRUE,D,M,12/16/1969,Jun,Founder and CEO,04/04/2023,1969,56,12,16,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
29,9700,Healthcare,Sun Piaoyang,64,China,Lianyungang,Pharmaceuticals,Healthcare,China,,TRUE,D,M,09/01/1958,Piaoyang,,04/04/2023,1958,67,9,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
30,9600,Energy,Jin Baofang,70,China,Xingtai,Solar panels,Energy,China,,TRUE,D,M,09/01/1952,Baofang,,04/04/2023,1952,73,9,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
31,9600,Manufacturing,Luo Liguo & family,67,China,Ningbo,Chemicals,Manufacturing,China,,TRUE,D,M,03/01/1956,Liguo,,04/04/2023,1956,69,3,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
32,9400,Technology,Wang Xing,44,China,Beijing,Food delivery,Technology,China,,TRUE,D,M,2/18/1979,Xing,,04/04/2023,1979,46,2,18,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
33,9000,Manufacturing,Wang Liping & family,57,China,Changzhou,Hydraulic machinery,Manufacturing,China,,TRUE,U,M,2/24/1966,Liping,,04/04/2023,1966,59,2,24,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
34,8800,Technology,Richard Liu,49,China,Beijing,E-commerce,Technology,China,,TRUE,D,M,03/10/1974,Richard,,04/04/2023,1974,51,3,10,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
35,8800,Energy,Pei Zhenhua,64,China,Ningde,Batteries,Energy,China,,TRUE,D,M,01/01/1959,Zhenhua,,04/04/2023,1959,66,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
36,8700,Manufacturing,Chen Jianhua,52,China,Wujiang,Chemicals,Manufacturing,China,,TRUE,U,M,01/01/1971,Jianhua,,04/04/2023,1971,54,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
37,8500,Manufacturing,Li Zhenguo & family,55,China,Xi'an,Solar wafers and modules,Manufacturing,China,,TRUE,D,M,01/01/1968,Zhenguo,,04/04/2023,1968,57,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
38,8400,Metals & Mining,Zheng Shuliang & family,77,China,Binzhou,Aluminum products,Metals & Mining,China,,FALSE,D,F,01/01/1946,Shuliang,,04/04/2023,1946,79,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
39,8200,Real Estate,Wang Jianlin,68,China,Beijing,Real estate,Real Estate,China,Dalian Wanda Group,TRUE,D,M,10/01/1954,Jianlin,Chairman,04/04/2023,1954,71,10,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
40,8200,Real Estate,Yang Huiyan & family,41,China,Foshan,Real estate,Real Estate,China,,FALSE,D,F,9/27/1981,Huiyan,,04/04/2023,1981,44,9,27,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
41,7900,Fashion & Retail,Ding Shizhong,52,China,Quanzhou,Sports apparel,Fashion & Retail,China,,TRUE,U,M,12/01/1970,Shizhong,,04/04/2023,1970,55,12,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
42,7800,Manufacturing,Li Shuirong & family,66,China,Hangzhou,Petrochemicals,Manufacturing,China,,TRUE,D,M,07/01/1956,Shuirong,,04/04/2023,1956,69,7,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
43,7800,Technology,Qi Shi & family,53,China,Shanghai,Financial information,Technology,China,,TRUE,D,M,01/03/1970,Shi,,04/04/2023,1970,55,1,3,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
44,7800,Manufacturing,Yao Liangsong,58,China,Guangzhou,Furniture,Manufacturing,China,,TRUE,D,M,08/01/1964,Liangsong,,04/04/2023,1964,61,8,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
45,7700,Technology,Robin Li,54,China,Beijing,Internet search,Technology,China,Baidu,TRUE,U,M,11/17/1968,Robin,Founder and CEO,04/04/2023,1968,57,11,17,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
46,7700,Service,Liu Yonghao & family,71,China,Chengdu,Agribusiness,Service,China,,TRUE,D,M,09/01/1951,Yonghao,,04/04/2023,1951,74,9,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
47,7600,Energy,Cao Renxian,54,China,Hefei,Photovoltaic equipment,Energy,China,,TRUE,D,M,7/24/1968,Renxian,,04/04/2023,1968,57,7,24,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
48,7600,Healthcare,Zhong Huijuan,62,China,Shanghai,Pharmaceuticals,Healthcare,China,,TRUE,D,F,01/01/1961,Huijuan,,04/04/2023,1961,64,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
49,7500,Fashion & Retail,Ding Shijia,59,China,Quanzhou,Sports apparel,Fashion & Retail,China,,TRUE,D,M,01/01/1964,Shijia,,04/04/2023,1964,61,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
50,7400,Fashion & Retail,Ma Jianrong,59,China,Ningbo,"Textiles, apparel",Fashion & Retail,China,,TRUE,D,M,01/01/1964,Jianrong,,04/04/2023,1964,61,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
51,7300,Technology,Wang Laichun,55,China,Shenzhen,Electronics components,Technology,Hong Kong,,TRUE,D,F,06/03/1967,Laichun,,04/04/2023,1967,58,6,3,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
52,7200,Food & Beverage,Zong Qinghou,77,China,Hangzhou,Beverages,Food & Beverage,China,Hangzhou Wahaha Group,TRUE,D,M,10/01/1945,Qinghou,Chairman,04/04/2023,1945,80,10,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
53,7100,Manufacturing,Liang Wengen,66,China,Changsha,Construction equipment,Manufacturing,China,,TRUE,D,M,12/14/1956,Wengen,,04/04/2023,1956,69,12,14,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
54,7100,Manufacturing,Zhang Hejun,71,China,Ningbo,Electronics,Manufacturing,China,,TRUE,U,M,01/01/1952,Hejun,,04/04/2023,1952,73,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
55,6900,Technology,Liu Jincheng & family,58,China,Huizhou,Lithium batteries,Technology,China,,TRUE,D,M,9/22/1964,Jincheng,,04/04/2023,1964,61,9,22,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
56,6800,Technology,Wang Laisheng,58,China,Shenzhen,Electronics components,Technology,Hong Kong,,TRUE,D,M,12/14/1964,Laisheng,,04/04/2023,1964,61,12,14,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
57,6700,Automotive,Li Ping,55,China,Ningde,Batteries,Automotive,Hong Kong,,TRUE,D,M,01/01/1968,Ping,,04/04/2023,1968,57,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
58,6700,Manufacturing,Lin Jianhua,60,China,Hangzhou,Solar panel components,Manufacturing,China,,TRUE,Split Family Fortune,M,08/01/1962,Jianhua,,04/04/2023,1962,63,8,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
59,6700,Food & Beverage,Xu Shihui,65,China,Quanzhou,"Snacks, beverages",Food & Beverage,China,,TRUE,D,M,01/01/1958,Shihui,,04/04/2023,1958,67,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
60,6400,Healthcare,Jian Jun,59,China,Beijing,Biomedical products,Healthcare,China,,TRUE,U,F,11/01/1963,Jun,,04/04/2023,1963,62,11,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
61,6300,Energy,Gao Jifan & family,58,China,Changzhou,Solar equipment,Energy,China,,TRUE,D,M,01/01/1965,Jifan,,04/04/2023,1965,60,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
62,6300,Energy,Wang Yusuo & family,59,China,Langfang,Natural gas distribution,Energy,China,,TRUE,U,M,03/11/1964,Yusuo,,04/04/2023,1964,61,3,11,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
63,6200,Food & Beverage,Lin Muqin & family,59,China,Shenzhen,Beverages,Food & Beverage,China,,TRUE,U,M,01/01/1964,Muqin,,04/04/2023,1964,61,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
64,6200,Manufacturing,Ruan Liping,59,China,Ningbo,Power strips,Manufacturing,Hong Kong,,TRUE,U,M,01/01/1964,Liping,,04/04/2023,1964,61,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
65,6200,Manufacturing,Ruan Xueping,51,China,Ningbo,Power strip,Manufacturing,Hong Kong,,TRUE,U,M,01/01/1972,Xueping,,04/04/2023,1972,53,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
66,5900,Real Estate,Cai Kui,60,China,Chengdu,Real estate,Real Estate,China,,TRUE,D,M,01/01/1963,Kui,,04/04/2023,1963,62,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
67,5900,Food & Beverage,Tsai Eng-meng,66,China,Shanghai,"Food, beverages",Food & Beverage,Taiwan,,FALSE,D,M,1/15/1957,Eng-meng,,04/04/2023,1957,68,1,15,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
68,5600,Logistics,Lai Meisong,52,China,Shanghai,Package delivery,Logistics,China,,TRUE,U,M,12/01/1970,Meisong,,04/04/2023,1970,55,12,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
69,5600,Healthcare,Li Ge,56,China,Shanghai,Pharmaceutical ingredients,Healthcare,United States,,TRUE,Split Family Fortune,M,01/01/1967,Ge,,04/04/2023,1967,58,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
70,5600,Automotive,Wu Jianshu,59,China,Ningbo,Auto parts,Automotive,Hong Kong,,TRUE,D,M,01/01/1964,Jianshu,,04/04/2023,1964,61,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
71,5500,Manufacturing,Jiang Weiping & family,68,China,Chengdu,Chemicals,Manufacturing,China,,TRUE,D,M,03/01/1955,Weiping,,04/04/2023,1955,70,3,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
72,5500,Diversified,Zhao Yan,56,China,Beijing,Biotech,Diversified,China,,TRUE,D,F,01/01/1967,Yan,,04/04/2023,1967,58,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
73,5400,Diversified,Miao Hangen,58,China,Suzhou,"Textiles, petrochemicals",Diversified,China,,TRUE,D,M,01/01/1965,Hangen,,04/04/2023,1965,60,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
74,5200,Food & Beverage,Cheng Xue,53,China,Foshan,Soy sauce,Food & Beverage,China,,TRUE,D,F,2/26/1970,Xue,,04/04/2023,1970,55,2,26,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
75,5200,Fashion & Retail,Gao Dekang & family,71,China,Changshu,Apparel,Fashion & Retail,China,,TRUE,U,M,02/01/1952,Dekang,,04/04/2023,1952,73,2,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
76,5100,Manufacturing,Fang Wei,49,China,Beijing,Steel,Manufacturing,China,,TRUE,U,M,09/04/1973,Wei,,04/04/2023,1973,52,9,4,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
77,5000,Real Estate,Zhu Yan & family,,China,Beijing,Real estate,Real Estate,China,,FALSE,U,F,,Yan,,04/04/2023,,2025,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
78,4900,Fashion & Retail,Zhang Tao,50,China,Beijing,E-commerce,Fashion & Retail,China,,TRUE,D,M,11/01/1972,Tao,,04/04/2023,1972,53,11,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
79,4800,Finance & Investments,Yu Yong,62,China,Shanghai,Mining,Finance & Investments,China,,TRUE,U,M,02/01/1961,Yong,,04/04/2023,1961,64,2,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
80,4700,Manufacturing,Li Gaiteng,50,China,Shanghai,Hair dryers,Manufacturing,China,,TRUE,U,M,04/08/1972,Gaiteng,,04/04/2023,1972,53,4,8,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
81,4700,Diversified,Zuowen Song,76,China,Longkou,"Aluminum, diversified",Diversified,China,,TRUE,U,M,3/19/1947,Zuowen,,04/04/2023,1947,78,3,19,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
82,4600,Energy,Fan Hongwei,56,China,Wujiang,Petrochemicals,Energy,China,,TRUE,D,F,01/01/1967,Hongwei,,04/04/2023,1967,58,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
83,4600,Manufacturing,Li Chunan,54,China,Fushun,Renewable energy,Manufacturing,China,,TRUE,D,M,10/10/1968,Chunan,,04/04/2023,1968,57,10,10,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
84,4600,Healthcare,Xue Min,66,China,Wuhan,Healthcare,Healthcare,China,,TRUE,N,M,01/01/1957,Min,,04/04/2023,1957,68,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
85,4500,Technology,Jiang Bin,56,China,Weifang,Acoustic components,Technology,China,,TRUE,D,M,9/16/1966,Bin,,04/04/2023,1966,59,9,16,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
86,4500,Manufacturing,Xu Jinfu,59,China,Guangzhou,Chemicals,Manufacturing,China,,TRUE,D,M,01/01/1964,Jinfu,,04/04/2023,1964,61,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
87,4500,Manufacturing,You Xiaoping & family,65,China,Wenzhou,"Chemicals, spandex",Manufacturing,China,,TRUE,D,M,1/21/1958,Xiaoping,,04/04/2023,1958,67,1,21,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
88,4400,Manufacturing,Qian Dongqi & family,65,China,Suzhou,Home-cleaning robots,Manufacturing,China,,TRUE,D,M,01/01/1958,Dongqi,,04/04/2023,1958,67,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
89,4300,Healthcare,Hu Kaijun,61,China,Beijing,Pharmaceuticals,Healthcare,China,,TRUE,U,M,01/01/1962,Kaijun,,04/04/2023,1962,63,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
90,4300,Technology,Frank Wang,42,China,Shenzhen,Drones,Technology,China,DJI Technology Co.,TRUE,D,M,10/30/1980,Frank,Founder and CEO,04/04/2023,1980,45,10,30,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
91,4300,Manufacturing,Wang Junshi & family,74,China,Ningbo,Solar inverters,Manufacturing,China,,TRUE,D,M,01/01/1949,Junshi,,04/04/2023,1949,76,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
92,4300,Technology,Wang Wenjing,58,China,Beijing,Business software,Technology,China,,TRUE,D,M,12/05/1964,Wenjing,,04/04/2023,1964,61,12,5,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
93,4200,Real Estate,Chan Laiwa & family,82,China,Beijing,Real estate,Real Estate,China,,TRUE,D,F,01/01/1941,Laiwa,Philanthropist,04/04/2023,1941,84,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
94,4200,Real Estate,Chen Hua,57,China,Shenzhen,Real estate,Real Estate,China,,TRUE,U,M,01/01/1966,Hua,,04/04/2023,1966,59,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
95,4200,Technology,Lin Bin,55,China,Shenzhen,Smartphones,Technology,United States,,TRUE,D,M,02/01/1968,Bin,,04/04/2023,1968,57,2,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
96,4200,Finance & Investments,Lin Li,59,China,Shenzhen,Investments,Finance & Investments,China,,TRUE,D,M,05/01/1963,Li,,04/04/2023,1963,62,5,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
97,4100,Manufacturing,Hong Jie,55,China,Putian,Paint,Manufacturing,China,,TRUE,U,M,10/01/1967,Jie,,04/04/2023,1967,58,10,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
